names,types,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Dinosaurs,other,,,10,10,10,8,4,1.3,1.2,1.1,0.6,0.4,0.2,,,,,,,,,,,,,,,,0.2,0.1
Raffi,music,,10,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Elvis,music,,,,,,,9,10,8,5.5,1.7,,,,,,,,,,,,,,,,,,,
Geography,other,,,,,8,10,7,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Coolio,music,,,,,,,,,,,7.6,6,,,,,,,,,,,,,,,,,,
Ken Griffey Jr,sports,,,,,,,,,,2,8.6,10,8,7,5,2,1,,,,,,,,,,,,,
Seattle Mariners,sports,,,,,,,,,,2,8.2,9.8,8,5,1,,,,,,,,,,,,,,,
Nike,sports,,,,,,,,,,1,7,9,6,3,,,,,,,,,,,,,,,,
Mallomars,food,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,6,5
San Francisco 49ers,sports,,,,,3,3,3,3,3,10,10,10,10,9.2,8.9,8.6,5,3,2,1,,,,,,1,1,2,6,6
Baseball Cards,sports,,,,,,1.3,,,,8,10,10,10,9,6,0.4,0.4,0.3,0.1,0.4,0.1,,,,,,,,,
Simpsons,media,,,,,,,,,1,2,3,5,6,7,8,6,4,4,4,4,4,4,4,3,2,1,1,1,1,1
Seinfeld,media,,,,,,,,,,,,,,3,6,6,7,8,2,,,,,,,,,,,
Star Trek,media,,,,,,,,6,9,10,10,8,8,8,6,2,2,2,2,2,1,1,2,2,1,1,1,1,5,5
Nirvana,music,,,,,,,,,,,,,,9,10,8,5,2,1,,,,,,,,,,,
My Bloody Valentine,music,,,,,,,,,,,,,,6,7,7,8,9,9,8,7,6,6,5,5,4,4,5,6,4
Pavement,music,,,,,,,,,,,,,,,6,,,6,8,9,5,4,,,,,,,,
Beck,music,,,,,,,,,,,,10,10,5,5,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2
Freeform Radio,music,,,,,,,,,,,,,,,,2,6,10,10,10,10,10,10,10,10,10,10,10,9,9
Guided By Voices,music,,,,,,,,,,,,,,,,,2,7,9,10,10,10,9,9,8,7,7,7,7,7
Sex Clark Five,music,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,10,10
John Madden,sports,,,,,,,,,,,2.4,3.7,4,4,10,9,8,6,6,6,6,,,,,,,,,
Kim Deal,music,,,,,,,,,,,,,,,,8,8,8,9,8,9,7,7,7,7,3,3,3,4,4
Shell Gasoline,other,,,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
McDonalds,food,,,,3,3,1,1,1.5,,,,,,,,,,,,,,,,,,,,,,
Oasis,music,,,,,,,,,,,10,9,8,8,8,7,5,2.5,1.3,0.2,0.1,,,,,,,,,
Radiohead,music,,,,,,,,,,,,,9.7,10,10,9,9,8,6,3,1,0.2,,,,,,,,
Dizzee Rascal,music,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,
Apple,tech,,,,,,,6,9,8,8,8,7,6,5,5,,,,,,,,,,,,,,,
Maxis,tech,,,,,,,,6,7.4,7.4,9,7.2,6,5,5,,,,,,,,,,,,,,,
HyperCard,tech,,,,,,,,,,8,8,7,2,,,,,,,,,,,,,,,,,
Creative Commons,tech,,,,,,,,,,,,,,,,,,,2,2,2,8,8,9,9,8,7,6,5,5
Wu Tang Clan,music,,,,,,,,,,,,,,,9,10,9,8,8,6,3,3,3,3,3,3,3,3,3,3
Napster,music,,,,,,,,,,,,,,,9,10,7,5,1,,,,,,,,,,,
Bike Riding,sports,,,,,,,,4,4,4,,,,,,,,,,,4,4,5,6,7,7,7,7,7,7
Haribo,food,,,,,,,,,,,,,,,,,,,8,8,7,6,6,7,8,9,8,7,6,8
Peanut Chews,food,,,,,,,,,,,,,,,,,,,,,,,,,7,8,8,8,9,9
Traffic Sound,music,,,,,,,,,,,,,,,,,,,,,,,9,9,8,7,7,7,7,7
Traxman,music,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,6
Ariel Pink,music,,,,,,,,,,,,,,,,,,,,,8,9,9,10,8,5,5,4,4,4
The Moles,music,,,,,,,,,,,,,,,,,,,,5,5,9,8,8,8,8,9,9,9,8
Flipper,music,,,,,,,,,,,,,,,6,6,6,6,7,8,9,9,8,8,7,6,5,5,5,5
Brooklyn Academy,music,,,,,,,,,,,,,,,,,,,,,,,,,9,8,5,5,5,5
Lucky Dragons,music,,,,,,,,,,,,,,,,,,,,,5,6,7,9,8,8,7,7,7,7
Arthur Russell,music,,,,,,,,,,,,,,,,,,,,,6,6,6,6,9,8,7,6,6,5
Big Star,music,,,,,,,,,,,,,,,,,6,7,8,8,8,7,7,7,7,7,7,7,8,7
Ghedalia Tazartes,music,,,,,,,,,,,,,,,,,,,,,,,,,9,9,6,6,6,6
Buraka Som Sistema,music,,,,,,,,,,,,,,,,,,,,,,,,,8,6,,,,
White Fence,music,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,7,5,
Chancha Via Circuito,music,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,,,
Eddy Current Suppression Ring,music,,,,,,,,,,,,,,,,,,,,,,,,,8,10,7,6,,
Shoes,music,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,9,6
Alaclair Ensemble,music,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,6
Gary Shteyngart,lit,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,6,,
Jennifer Egan,lit,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,
Paul Auster,lit,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,
Kurt Vonnegut,lit,,,,,,,,,,,,,,,,,,,7,8,9,10,7,4,,,,,,
Mihaly Csikszentmihalyi,lit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
Scratch,tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8
Evernote,tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,
Instagram,tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,6
Twitter,tech,,,,,,,,,,,,,,,,,,,,,,,,2,8,9,7,6,5,5
AOL,tech,,,,,,,,,,,,8,7,7,6,7,,,,,,,,,,,,,,
Sublime Frequencies,music,,,,,,,,,,,,,,,,,,,,3,6,7,8,8,8,7,7,7,7,7
New Yorker,lit,,,,,,,,,,,,,,,,,,,,,,,,,1,2,8,8,9,9
Sublime,music,,,,,,,,,,,,8,9,9,8,6,4,2,1,,,,,,,,,,,
Tool,music,,,,,,,,,,,,,,,5,8,7,5,3,2,,,,,,,,,,
X-Files,media,,,,,,,,,,,,2,3,2,,,,,,,,,,,,,,,,
Wayne's World,media,,,,,,,,,,2,3,8,9,8,7,7,7,6,5,4,3,3,3,3,2,1,,,,
Noise,music,,,,,,,,,,,,,,,,,,1,4,4,4,4,4,2,1,,,,,
Pocket,tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,
Max Ernst,art,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,3,2,2
Kazimir Malevich,art,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,7
Simon Reynolds,lit,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,2
